DATE,MSRSKY445
2019-01-01,-0.8
2019-02-01,-2.9
2019-03-01,-4.3
2019-04-01,-0.7
2019-05-01,2.6
2019-06-01,.
2019-07-01,2.2
2019-08-01,3.6
2019-09-01,1.3
2019-10-01,4.5
2019-11-01,3.4
2019-12-01,1.6
2020-01-01,-0.2
2020-02-01,6.8
2020-03-01,28.6
2020-04-01,1.1
2020-05-01,14.7
2020-06-01,.
2020-07-01,12.5
2020-08-01,0.3
2020-09-01,.
2020-10-01,.
2020-11-01,8.4
2020-12-01,9.7
2021-01-01,13.6
2021-02-01,9.0
2021-03-01,-11.2
2021-04-01,12.4
2021-05-01,-1.2
2021-06-01,73.8
2021-07-01,2.2
2021-08-01,13.2
2021-09-01,.
2021-10-01,.
2021-11-01,6.5
2021-12-01,8.0
2022-01-01,5.4
