DATE,MSRSKY442
2019-01-01,-1.4
2019-02-01,-2.1
2019-03-01,-1.8
2019-04-01,0.7
2019-05-01,2.0
2019-06-01,-0.6
2019-07-01,2.4
2019-08-01,1.8
2019-09-01,2.8
2019-10-01,0.6
2019-11-01,2.3
2019-12-01,1.5
2020-01-01,8.9
2020-02-01,17.6
2020-03-01,-17.3
2020-04-01,.
2020-05-01,-20.6
2020-06-01,6.3
2020-07-01,7.8
2020-08-01,9.3
2020-09-01,13.9
2020-10-01,16.9
2020-11-01,4.6
2020-12-01,13.3
2021-01-01,20.0
2021-02-01,4.7
2021-03-01,59.6
2021-04-01,.
2021-05-01,57.7
2021-06-01,22.2
2021-07-01,18.7
2021-08-01,15.7
2021-09-01,12.6
2021-10-01,10.6
2021-11-01,24.4
2021-12-01,12.0
2022-01-01,1.7
