DATE,MSRSKY446
2019-01-01,-7.3
2019-02-01,1.1
2019-03-01,-1.5
2019-04-01,1.6
2019-05-01,0.6
2019-06-01,2.4
2019-07-01,0.3
2019-08-01,-1.8
2019-09-01,-0.9
2019-10-01,-1.8
2019-11-01,-4.2
2019-12-01,2.1
2020-01-01,4.0
2020-02-01,2.6
2020-03-01,9.5
2020-04-01,-7.3
2020-05-01,-10.3
2020-06-01,-1.4
2020-07-01,6.6
2020-08-01,-0.2
2020-09-01,3.3
2020-10-01,2.5
2020-11-01,4.0
2020-12-01,9.1
2021-01-01,1.4
2021-02-01,-2.5
2021-03-01,5.6
2021-04-01,32.9
2021-05-01,16.1
2021-06-01,15.1
2021-07-01,7.3
2021-08-01,10.9
2021-09-01,16.0
2021-10-01,9.0
2021-11-01,7.2
2021-12-01,16.4
2022-01-01,15.5
