Kentucky, Precipitation
Units: Inches
Base Period: 2019-2022
Missing: -99
Date,Value,Anomaly
201901,4.73,0.06
201902,9.39,2.62
201903,3.68,-2.09
201904,4.94,0.62
201905,4.43,-0.10
201906,8.10,2.01
201907,5.24,-0.31
201908,3.46,-1.17
201909,0.22,-2.59
201910,6.34,1.22
201911,4.69,1.72
201912,6.10,1.49
202001,4.47,-0.20
202002,6.42,-0.35
202003,6.84,1.07
202004,4.95,0.63
202005,5.58,1.05
202006,5.16,-0.93
202007,5.22,-0.33
202008,5.14,0.51
202009,3.98,1.17
202010,4.63,-0.49
202011,2.23,-0.74
202012,3.49,-1.12
202101,4.12,-0.55
202102,4.51,-2.26
202103,6.78,1.01
202104,3.08,-1.24
202105,3.57,-0.96
202106,5.02,-1.07
202107,6.20,0.65
202108,5.29,0.66
202109,4.23,1.42
202110,4.38,-0.74
202111,1.98,-0.99
202112,4.24,-0.37
202201,5.34,0.67
